Az_deg,El_deg,Gain_dBi,Gain_linear
0,80,-10.3332206503716,0.0926142757712272
0,85,-12.6808021555366,0.0539410982412324
0,90,-15.1579386515201,0.0304934199511367
5,-90,-14.1882309454662,0.0381221078311473
5,-85,-11.3729946639613,0.0728954688498687
5,-80,-8.95064140936761,0.127331501127976
5,-75,-6.82913575552578,0.207532646559375
5,-70,-4.94739439590165,0.320081490269259
5,-65,-3.26343022959707,0.471690334410502
5,-60,-1.74380795642862,0.66929750239381
5,-55,-0.354728171406935,0.921567568624164
5,-50,0.944867112893784,1.243044600103
5,-45,2.20523514017089,1.66158863876684
5,-40,3.4775672184826,2.22718719933467
5,-35,4.79361581362232,3.01551561276098
5,-30,6.14373274218196,4.11503254409887
5,-25,7.47236975294012,5.58775010380857
5,-20,8.69658228435218,7.40727090681946
5,-15,9.73197612541923,9.4015100047341
5,-10,10.5097543282469,11.2454135909896
5,-5,10.98205441399,12.537341089727
5,0,11.1208831955034,12.9445906012489
5,5,10.9157985439232,12.3475233010352
5,10,10.3729736261536,10.8967594204923
5,15,9.51647954898872,8.94639264603154
5,20,8.39135492603251,6.90455180691696
5,25,7.06607613321244,5.08870896547545
5,30,5.62879378157398,3.654932646636
5,35,4.17010745071684,2.61222598383705
5,40,2.75320720422509,1.88504065185311
5,45,1.38989692097343,1.37717678145889
5,50,0.0438520815866013,1.01014846483418
5,55,-1.34325296383359,0.733963906660064
5,60,-2.82650249238801,0.521614614362954
5,65,-4.44688563666093,0.359179412981495
5,70,-6.23170425564191,0.238138478447492
5,75,-8.19815543942191,0.15142042334379
5,80,-10.3538533053659,0.0921753232825956
5,85,-12.6894077191303,0.0538343195522501
5,90,-15.1579386515201,0.0304934199511367
10,-90,-14.1882309454662,0.0381221078311473
10,-85,-11.3873655748925,0.0726546546052991
10,-80,-8.97857036510148,0.12651527489982
10,-75,-6.86662388929292,0.205748942191908
10,-70,-4.98976091757986,0.316974195494938
10,-65,-3.30653862309736,0.467031461457096
